pattern,supercell_repeats,device_length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db,strict_pass
13-3-13,900,52.2,13.199999999999992,0.00035,0.00021999999999999998,"[4.0, 8.0]",36.43084819122467,7.0,31.09153920964259,31.55065568149642,15.751823598026839,4.543653597549282,1.0,1.0,1.0,"[(7.0, 8.0)]",1.5,True,20.67902459319783,36.43084819122467,False
13-3-13,2200,127.6,12.399999999999995,0.00045,0.00021999999999999998,"[4.0, 8.0]",40.19906978092934,7.5,32.78664964793039,33.59131745121409,15.828758041640505,4.7079195234417455,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,24.370311739288837,40.19906978092934,False
13-3-13,1600,92.8,12.599999999999994,0.00045,0.00029,"[4.0, 8.0]",43.92727910959422,4.5,39.38777980169254,39.49410994805461,16.010239355300584,4.472487204466546,1.0,1.0,1.0,"[(4.5, 4.5), (6.0, 6.0), (7.0, 7.0), (8.0, 8.0)]",2.0,True,27.917039754293633,43.92727910959422,False
13-3-13,2200,127.6,11.399999999999999,0.00035,0.00021999999999999998,"[4.0, 8.0]",38.02486044217912,4.5,32.862114264327666,34.95750740736612,16.365585486144,6.079341464185764,1.0,1.0,1.0,"[(4.0, 4.5), (7.5, 8.0)]",2.0,True,21.65927495603512,38.02486044217912,False
13-3-13,1200,69.6,13.199999999999992,0.00025,0.00029,"[4.0, 8.0]",41.87062314433732,8.0,35.40160472108745,35.925253916839964,16.37513733877237,4.899484307009858,1.0,1.0,1.0,"[(7.0, 8.0)]",1.5,True,25.495485805564954,41.87062314433732,False
13-3-13,1200,69.6,13.199999999999992,0.00035,0.00021999999999999998,"[4.0, 8.0]",34.702786113851325,7.0,27.865181675049264,28.408742583176043,16.899771073492474,6.312215256234657,1.0,1.0,0.7777777777777778,"[(6.0, 7.5)]",2.0,True,17.80301504035885,34.702786113851325,False
13-3-13,900,52.2,12.399999999999995,0.00045,0.00029,"[4.0, 8.0]",43.56917853810161,7.5,38.0353025550818,39.47818349241791,17.104207161864053,4.759501537390635,1.0,1.0,1.0,"[(5.0, 5.0), (7.0, 7.5)]",1.5,True,26.464971376237557,43.56917853810161,False
13-3-13,1600,92.8,11.2,0.00045,0.00029,"[4.0, 8.0]",49.260036081712784,5.5,40.786277878665125,41.964681649986005,17.136040257978436,4.92796639912587,1.0,1.0,1.0,"[(5.5, 5.5)]",0.5,True,32.12399582373435,49.260036081712784,False
13-3-13,900,52.2,11.799999999999997,0.00045,0.00021999999999999998,"[4.0, 8.0]",39.82610432733555,7.0,34.86394824232486,36.76371725803834,17.158759643407215,5.061632021113773,1.0,1.0,1.0,"[(5.5, 5.5), (6.5, 7.5)]",2.0,True,22.667344683928334,39.82610432733555,False
13-3-13,900,52.2,13.399999999999991,0.00045,0.00029,"[4.0, 8.0]",42.619582841631285,7.5,33.45932517332435,34.03684704745216,17.22843314694385,5.537852800923376,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,25.391149694687435,42.619582841631285,False
13-3-13,900,52.2,13.399999999999991,0.00035,0.00029,"[4.0, 8.0]",40.487262194810825,7.0,34.11804057857719,37.40806962427744,17.357113348026402,6.512007929635011,1.0,1.0,1.0,"[(5.0, 5.0), (6.5, 7.5)]",2.0,True,23.130148846784422,40.487262194810825,False
13-3-13,900,52.2,11.799999999999997,0.00045,0.00029,"[4.0, 8.0]",43.50457998883523,6.5,39.4283639680795,41.01267614868558,17.6390700902826,5.0456108347580315,1.0,1.0,1.0,"[(5.0, 6.5), (7.5, 8.0)]",3.0,True,25.86550989855263,43.50457998883523,False
13-3-13,1600,92.8,13.199999999999992,0.00025,0.00029,"[4.0, 8.0]",47.20670755531881,7.5,37.66898652731021,38.15305434895686,17.810958840810315,4.745215518333231,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,29.395748714508493,47.20670755531881,False
13-3-13,900,52.2,11.999999999999996,0.00035,0.00029,"[4.0, 8.0]",40.28364457909829,7.5,30.938233974044742,33.46434542381694,17.848474957065072,5.838436338344164,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,22.43516962203322,40.28364457909829,False
13-3-13,1200,69.6,11.2,0.00045,0.00021999999999999998,"[4.0, 8.0]",43.64036732819208,5.5,36.526297793746366,38.706138507085946,17.94006011873127,5.396305806179638,1.0,1.0,1.0,"[(5.5, 6.0)]",1.0,True,25.700307209460806,43.64036732819208,False
13-3-13,1600,92.8,11.999999999999996,0.00035,0.00029,"[4.0, 8.0]",39.903215591863834,7.0,34.93149900292937,36.92438153444662,17.960309677821016,5.700466604949412,1.0,1.0,1.0,"[(4.5, 4.5), (5.5, 5.5), (6.5, 7.5)]",2.5,True,21.942905914042818,39.903215591863834,False
13-3-13,1600,92.8,11.999999999999996,0.00045,0.00021999999999999998,"[4.0, 8.0]",41.06048515826407,7.5,35.12747428953757,36.2963719069986,18.20090897765596,5.094990121889192,1.0,1.0,1.0,"[(5.5, 5.5), (7.5, 8.0)]",1.5,True,22.859576180608112,41.06048515826407,False
13-3-13,2200,127.6,11.0,0.00045,0.00015,"[4.0, 8.0]",35.593316966265704,7.0,27.020528218488295,26.945737227576583,18.240067059123373,5.585916510702984,1.0,1.0,0.8888888888888888,"[(6.0, 6.0), (7.0, 7.0)]",1.0,True,17.35324990714233,35.593316966265704,False
13-3-13,1600,92.8,11.999999999999996,0.00045,0.00029,"[4.0, 8.0]",46.422149395170706,5.0,38.80876451625007,40.182295206098544,18.328968949569543,5.221554480126324,1.0,1.0,1.0,"[(5.0, 5.0), (7.0, 7.0)]",1.0,True,28.093180445601163,46.422149395170706,False
13-3-13,2200,127.6,11.999999999999996,0.00035,0.00029,"[4.0, 8.0]",42.36613615191338,7.5,37.17724537032946,38.54481369772408,18.578416916918986,5.018258550251135,1.0,1.0,1.0,"[(4.5, 4.5), (6.5, 7.5)]",2.0,True,23.787719234994395,42.36613615191338,False
13-3-13,2200,127.6,12.799999999999994,0.00045,0.00029,"[4.0, 8.0]",44.391067893450185,7.5,37.231921110044716,40.009562306649116,18.61624054809093,6.233671894893137,1.0,1.0,1.0,"[(4.5, 4.5), (7.5, 7.5)]",1.0,True,25.774827345359256,44.391067893450185,False
13-3-13,2200,127.6,11.799999999999997,0.00045,0.00021999999999999998,"[4.0, 8.0]",41.935481467870616,8.0,35.874689043897504,36.37788278316078,18.786642531282297,5.462745671102289,1.0,1.0,1.0,"[(5.5, 5.5), (7.0, 7.0), (8.0, 8.0)]",1.5,True,23.14883893658832,41.935481467870616,False
13-3-13,2200,127.6,13.399999999999991,0.00025,0.00029,"[4.0, 8.0]",42.199956230215754,7.0,33.022646859924855,32.00102288283572,18.830936396628225,6.165911200232536,1.0,1.0,1.0,"[(5.0, 5.0), (7.0, 7.0)]",1.0,True,23.36901983358753,42.199956230215754,False
13-3-13,1600,92.8,11.0,0.00045,0.00021999999999999998,"[4.0, 8.0]",44.30177753554108,5.5,35.65938573703622,36.98058444324532,18.88531978105497,5.569187196116751,1.0,1.0,1.0,"[(5.5, 5.5)]",0.5,True,25.416457754486107,44.30177753554108,False
13-3-13,1200,69.6,11.999999999999996,0.00045,0.00029,"[4.0, 8.0]",45.01735847652487,6.0,36.77876999723634,38.7077245661093,19.053310176925784,5.976389444264349,1.0,1.0,1.0,"[(6.0, 6.0)]",0.5,True,25.964048299599085,45.01735847652487,False
13-3-13,1200,69.6,12.199999999999996,0.00035,0.00029,"[4.0, 8.0]",41.65695246246158,7.5,34.86870785602767,37.083221903079455,19.440512737232083,5.315704372949874,1.0,1.0,1.0,"[(7.5, 7.5)]",0.5,True,22.2164397252295,41.65695246246158,False
13-3-13,2200,127.6,12.599999999999994,0.00045,0.00029,"[4.0, 8.0]",47.970077478858116,7.5,39.69298141516193,39.55762346594583,19.580882165622505,5.901659032819413,1.0,1.0,1.0,"[(7.5, 8.0)]",1.0,True,28.38919531323561,47.970077478858116,False
13-3-13,900,52.2,11.0,0.00035,0.00029,"[4.0, 8.0]",41.330069695502345,5.5,35.16696267970713,34.59418150164119,19.93815755024102,5.7246115734252925,1.0,1.0,1.0,"[(4.0, 4.0), (5.5, 5.5), (7.0, 7.0)]",1.5,True,21.391912145261326,41.330069695502345,False
13-3-13,1600,92.8,12.399999999999995,0.00045,0.00029,"[4.0, 8.0]",43.54564137632104,7.5,35.43692718393153,35.36052088966339,19.94994310366169,6.023739547181325,1.0,1.0,1.0,"[(5.5, 5.5), (7.5, 8.0)]",1.5,True,23.595698272659355,43.54564137632104,False
13-3-13,2200,127.6,11.2,0.00045,0.00029,"[4.0, 8.0]",50.564928576381824,5.5,41.556226374027204,40.62033861713678,20.00876711273638,5.304316669166628,1.0,1.0,1.0,"[(5.5, 5.5)]",0.5,True,30.556161463645445,50.564928576381824,False
13-3-13,1200,69.6,11.0,0.00045,0.00029,"[4.0, 8.0]",48.10722289049654,5.5,37.07727782672037,35.15483757210397,20.26489505872441,6.667199162270781,1.0,1.0,1.0,"[(5.5, 5.5)]",0.5,True,27.842327831772128,48.10722289049654,False
