pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite,minimum_in_band_gain_db,maximum_in_band_gain_db
12.799999999999999,0.00025,0.00017999999999999998,"[4.0, 8.0]",33.038157090007395,8.0,21.038924007924283,24.43378325170665,31.267480696840252,11.250345666115601,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[(4.5, 5.0), (7.5, 8.0)]",2.0,True,1.7706763931671414,33.038157090007395
12.7,0.00025,0.00028,"[4.0, 8.0]",41.53671083791315,6.5,23.77331506561876,27.50432232259479,40.613072135832354,14.693721554512251,0.6666666666666666,0.6666666666666666,0.5555555555555556,"[(5.0, 5.0), (6.5, 6.5)]",1.0,True,0.9236387020807962,41.53671083791315
12.799999999999999,0.0003,0.00022999999999999998,"[4.0, 8.0]",37.90209725160513,6.0,22.166338367259925,25.413336434637795,37.48776547207688,12.941106529963252,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[(6.0, 6.0)]",0.5,True,0.41433177952824674,37.90209725160513
12.899999999999999,0.0003,0.00022999999999999998,"[4.0, 8.0]",34.60014565083193,6.5,17.818953882330327,21.727854139932,43.7084297147774,15.422676898469911,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[(6.0, 6.5)]",1.0,True,-9.108284063945476,34.60014565083193
12.6,0.00035,0.00017999999999999998,"[4.0, 8.0]",35.66267038914157,6.5,19.566034479240418,27.699159197658304,47.25513166935817,16.26076163287189,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[(6.5, 6.5), (7.5, 7.5)]",1.0,True,-11.592461280216606,35.66267038914157
12.7,0.0003,0.00022999999999999998,"[4.0, 8.0]",35.05154215624731,6.5,20.33403842086087,30.100729354475444,46.70158030019661,17.18126138429945,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[(5.0, 5.0), (6.5, 7.5)]",2.0,True,-11.650038143949304,35.05154215624731
12.999999999999998,0.00035,0.00017999999999999998,"[4.0, 8.0]",26.48863399352163,7.0,19.551557924486964,18.068711420169517,12.733716073730722,4.755890262294443,0.8888888888888888,0.5555555555555556,0.4444444444444444,"[(6.0, 6.0), (7.0, 7.5)]",1.5,True,13.754917919790909,26.48863399352163
13.099999999999998,0.00039999999999999996,0.00017999999999999998,"[4.0, 8.0]",28.742557904053378,4.0,15.321430952842364,17.153615663908674,26.316996304533596,7.490739303393259,0.5555555555555556,0.5555555555555556,0.2222222222222222,"[(4.0, 4.0)]",0.5,True,2.42556159951978,28.742557904053378
12.799999999999999,0.00039999999999999996,0.00017999999999999998,"[4.0, 8.0]",32.57330749502116,5.5,17.879700332881548,28.20006676577632,33.36574582339181,15.164900281404803,0.5555555555555556,0.5555555555555556,0.5555555555555556,"[(5.5, 6.5), (7.5, 7.5)]",2.0,True,-0.7924383283706525,32.57330749502116
12.6,0.00025,0.00028,"[4.0, 8.0]",37.6696297602425,6.5,18.30158662274302,20.952157543386896,44.00763593249793,15.09079513616044,0.5555555555555556,0.5555555555555556,0.5555555555555556,"[(6.5, 7.0)]",1.0,True,-6.338006172255427,37.6696297602425
12.7,0.00025,0.00017999999999999998,"[4.0, 8.0]",32.12662224390576,8.0,17.713554764292738,19.261318536330055,42.10794144346974,13.28404204505716,0.6666666666666666,0.5555555555555556,0.4444444444444444,"[(4.5, 4.5), (8.0, 8.0)]",1.0,True,-9.981319199563982,32.12662224390576
12.999999999999998,0.00039999999999999996,0.00022999999999999998,"[4.0, 8.0]",33.126547085781446,6.5,12.888656688552024,18.132400858502237,43.49414661827392,14.027554113081623,0.5555555555555556,0.5555555555555556,0.4444444444444444,"[(6.5, 6.5)]",0.5,True,-10.367599532492475,33.126547085781446
12.7,0.00039999999999999996,0.00017999999999999998,"[4.0, 8.0]",33.68997419441662,6.5,13.681309756023378,20.98445631058808,63.60734818929779,21.206657801935233,0.5555555555555556,0.5555555555555556,0.5555555555555556,"[(5.5, 7.0)]",2.0,True,-29.917373994881167,33.68997419441662
12.799999999999999,0.00035,0.00028,"[4.0, 8.0]",33.397855353062994,4.0,13.26988695045463,5.267687118430877,33.44059176649764,12.792624736859793,0.4444444444444444,0.4444444444444444,0.3333333333333333,"[(4.0, 4.0)]",0.5,True,-0.04273641343464852,33.397855353062994
