freq_GHz,S21_db_engineered,k_star_engineered_rad,bloch_evanescence_Np_per_cell
1.420000000000001,-4.1658946555104426e-12,-5.9529588673865735e-06,1.1755302613678812e-17
1.422000000000001,-3.65672975317036e-12,-5.911324182539257e-06,1.0318543405340524e-17
1.424000000000001,-3.147564850830277e-12,-5.869689497690206e-06,8.881784197002234e-18
1.426000000000001,-2.638399948490194e-12,-5.828054812842889e-06,7.445024988663944e-18
1.428000000000001,-2.129235046150111e-12,-5.786420127993838e-06,6.008265780325655e-18
1.430000000000001,-1.6200701438100278e-12,-5.744785443146522e-06,4.571506571987365e-18
1.432000000000001,-1.1109052414699453e-12,-5.7031507582974705e-06,3.134747363649077e-18
1.434000000000001,-6.017403391298622e-13,-5.661516073448419e-06,1.6979881553107871e-18
1.436000000000001,-9.257543678977909e-14,-5.619881388601103e-06,2.612289469724974e-19
1.438000000000001,-6.248841983258065e-13,-5.578214261800149e-06,1.7632953920496775e-18
1.440000000000001,-1.38863155183636e-12,-5.536539925675779e-06,3.918434204558322e-18
1.442000000000001,-2.152378905346913e-12,-5.494865589551409e-06,6.073573017066966e-18
1.444000000000001,-2.9161262588574664e-12,-5.453191253428774e-06,8.22871182957561e-18
1.446000000000001,-3.67987361236802e-12,-5.4115169173026695e-06,1.0383850642084255e-17
1.448000000000001,-4.443620965878574e-12,-5.369842581180034e-06,1.25389894545929e-17
1.4500000000000008,-5.2073683193890426e-12,-5.32816824505393e-06,1.4694128267101306e-17
1.4520000000000008,-5.9711156728995946e-12,-5.28649390892956e-06,1.6849267079609948e-17
1.4540000000000008,-6.7348630264101474e-12,-5.244819572806925e-06,1.900440589211859e-17
1.4560000000000008,-6.3877051384469405e-12,-5.203093223569988e-06,1.8024797340967392e-17
1.4580000000000013,-5.623957784936646e-12,-5.1613473694197415e-06,1.586965852845948e-17
1.4600000000000013,-4.8602104314265215e-12,-5.119601515269495e-06,1.3714519715952045e-17
1.4620000000000013,-4.0964630779163976e-12,-5.077855661119249e-06,1.1559380903444612e-17
1.4640000000000013,-3.332715724406273e-12,-5.0361098069690025e-06,9.404242090937177e-18
1.4660000000000013,-2.568968370896149e-12,-4.994363952818756e-06,7.249103278429744e-18
1.468000000000001,-1.8052210173861095e-12,-4.952618098666775e-06,5.09396446592255e-18
1.470000000000001,-1.0414736638759852e-12,-4.910872244516529e-06,2.9388256534151162e-18
1.472000000000001,-2.7772631036586075e-13,-4.869126390366282e-06,7.836868409076822e-19
1.474000000000001,-0.0,-4.827349098551065e-06,0.0
1.476000000000001,-0.0,-4.7855538423558636e-06,0.0
1.478000000000001,-0.0,-4.743758586160662e-06,0.0
1.480000000000001,-0.0,-4.701963329967196e-06,0.0
1.482000000000001,-0.0,-4.660168073771995e-06,0.0
1.484000000000001,-0.0,-4.618372817578528e-06,0.0
1.486000000000001,-0.0,-4.576577561383327e-06,0.0
1.488000000000001,-0.0,-4.534782305189861e-06,0.0
1.490000000000001,-0.0,-4.492987048996394e-06,0.0
1.492000000000001,-2.777263103678147e-13,-4.451163687352669e-06,7.836868409131958e-19
1.494000000000001,-7.868912127079038e-13,-4.409316904506466e-06,2.2204460492515026e-18
1.496000000000001,-1.2960561150479928e-12,-4.367470121655059e-06,3.657205257589809e-18
1.498000000000001,-1.805221017388082e-12,-4.325623338807122e-06,5.0939644659281164e-18
1.500000000000001,-2.3143859197281714e-12,-4.2837765559591845e-06,6.530723674266423e-18
1.5020000000000011,-2.8235508220682604e-12,-4.241929773109512e-06,7.96748288260473e-18
1.5040000000000011,-3.3327157244083493e-12,-4.20008299025984e-06,9.404242090943037e-18
1.5060000000000011,-3.841880626748438e-12,-4.158236207411903e-06,1.0841001299281343e-17
1.5080000000000011,-4.3510455290885276e-12,-4.116389424562231e-06,1.227776050761965e-17
1.5100000000000011,-4.628771839455777e-12,-4.074517796905791e-06,1.306144734853125e-17
1.5120000000000011,-4.628771839455777e-12,-4.032616355476373e-06,1.306144734853125e-17
