freq_GHz,S21_db_engineered,k_star_engineered_rad
1.47,-1.119612979e-05,-1.43841758594e-05
1.472,-1.04540586057e-05,-1.42848429953e-05
1.474,-9.70882504413e-06,-1.41854357847e-05
1.476,-8.96178440988e-06,-1.40859860906e-05
1.478,-8.21474377563e-06,-1.39865363964e-05
1.48,-7.46770314138e-06,-1.38870867023e-05
1.482,-6.72066250714e-06,-1.37876370081e-05
1.484,-5.97362187289e-06,-1.36881873139e-05
1.486,-5.22658123864e-06,-1.35887376198e-05
1.488,-4.47954060439e-06,-1.34892879256e-05
1.49,-3.73249997014e-06,-1.33898382315e-05
1.492,-3.18935988276e-06,-1.32903239088e-05
1.494,-2.81613691775e-06,-1.31907557291e-05
1.496,-2.44291395275e-06,-1.30911875493e-05
1.498,-2.06969098775e-06,-1.29916193696e-05
1.5,-1.69646802274e-06,-1.28920511899e-05
1.502,-1.32324505774e-06,-1.27924830101e-05
1.504,-9.50022092736e-07,-1.26929148304e-05
1.506,-5.76799127733e-07,-1.25933466506e-05
1.508,-2.03576162729e-07,-1.24937784709e-05
1.51,-0,-1.23941556846e-05
1.512,-0,-1.22944673705e-05
1.514,-0,-1.21947790563e-05
1.516,-0,-1.20950907422e-05
1.518,-0,-1.19954024281e-05
1.52,-0,-1.1895714114e-05
1.522,-0,-1.17960257998e-05
1.524,-0,-1.16963374857e-05
1.526,-0,-1.15966491716e-05
1.528,-0,-1.14969165749e-05
1.53,-0,-1.13971064839e-05
1.532,-0,-1.12972963928e-05
1.534,-0,-1.11974863018e-05
1.536,-0,-1.10976762107e-05
1.538,-0,-1.09978661197e-05
1.54,-0,-1.08980560286e-05
1.542,-0,-1.07982459376e-05
1.544,-0,-1.06984358466e-05
1.546,-0,-1.05985920973e-05
1.548,-0,-1.04986585926e-05
1.55,-0,-1.03987250879e-05
1.552,-0,-1.02987915832e-05
1.554,-0,-1.01988580785e-05
1.556,-0,-1.00989245739e-05
1.558,-0,-9.99899106919e-06
1.56,-0,-9.89905756452e-06
1.562,-0,-9.79912405984e-06
1.564,-0,-9.69916781973e-06
1.566,-0,-9.59910927012e-06
1.568,-0,-9.49905072052e-06
1.57,-0,-9.39899217092e-06
1.572,-0,-9.29893362133e-06
1.574,-0,-9.19887507173e-06
1.576,-0,-9.09881652213e-06
1.578,-0,-8.99875797253e-06
1.58,-0,-8.89869942292e-06
1.582,-0,-8.79862935776e-06
1.584,-0,-8.69844413689e-06
1.586,-0,-8.59825891603e-06
1.588,-0,-8.49807369517e-06
1.59,-0,-8.3978884743e-06
1.592,-0,-8.29770325344e-06
1.594,-0,-8.19751803258e-06
1.596,-0,-8.09733281172e-06
1.598,-0,-7.99714759085e-06
1.6,-0,-7.89696236999e-06
1.602,-0,-7.79664885612e-06
1.604,-0,-7.69633534226e-06
1.606,-0,-7.59602182839e-06
1.608,-0,-7.49570831452e-06
1.61,-0,-7.39539480066e-06
1.612,-0,-7.29508128679e-06
1.614,-0,-7.19476777292e-06
1.616,-0,-7.09445425906e-06
1.618,-0,-6.99414074519e-06
1.62,-0,-6.89370913083e-06
1.622,-0,-6.79326570641e-06
1.624,-0,-6.692822282e-06
1.626,-0,-6.59237885759e-06
1.628,-0,-6.49193543317e-06
1.63,-0,-6.39149200876e-06
1.632,-0,-6.29104858435e-06
1.634,-0,-6.19060515994e-06
1.636,-0,-6.09016173552e-06
1.638,-0,-5.98961070036e-06
1.64,-0,-5.88903575171e-06
1.642,-0,-5.78846080305e-06
1.644,-0,-5.68788585439e-06
1.646,-0,-5.58731090573e-06
1.648,-0,-5.48673595708e-06
1.65,-0,-5.38616100842e-06
1.652,-0,-5.28558605976e-06
1.654,-0,-5.18501111111e-06
1.656,-0,-5.08433933741e-06
1.658,-0,-4.98363125432e-06
1.66,-0,-4.88292317124e-06
1.662,-0,-4.78221508815e-06
1.664,-0,-4.68150700506e-06
1.666,-0,-4.58079892198e-06
1.668,-0,-4.48009083889e-06
1.67,-0,-4.37938275581e-06
1.672,-0,-4.27867467272e-06
1.674,-0,-4.17788084505e-06
1.676,-0,-4.07703802048e-06
1.678,-0,-3.97619519591e-06
1.68,-0,-3.87535237134e-06
1.682,-0,-3.77450954677e-06
1.684,-0,-3.6736667222e-06
1.686,-0,-3.57282389763e-06
1.688,-0,-3.47198107306e-06
1.69,-0,-3.37113824849e-06
1.692,-0,-3.27022105353e-06
1.694,-0,-3.16924188324e-06
1.696,-0,-3.06826271296e-06
1.698,-0,-2.96728354267e-06
1.7,-0,-2.86630437238e-06
1.702,-0,-2.76532520209e-06
1.704,-0,-2.66434603181e-06
1.706,-0,-2.56336686152e-06
1.708,-0,-2.46238769123e-06
1.71,-0,-2.36134581757e-06
1.712,-0,-2.26022869986e-06
1.714,-0,-2.15911158214e-06
1.716,-0,-2.05799446443e-06
1.718,-0,-1.95687734672e-06
1.72,-0,-1.85576022901e-06
1.722,-0,-1.75464311129e-06
1.724,-0,-1.65352599358e-06
1.726,-0,-1.55240887587e-06
1.728,-0,-1.45124101381e-06
1.73,-0,-1.34998434916e-06
1.732,-0,-1.2487276845e-06
1.734,-0,-1.14747101985e-06
1.736,-0,-1.04621435519e-06
1.738,-0,-9.44957690539e-07
1.74,-0,-8.43701025884e-07
1.742,-0,-7.4244436123e-07
1.744,-0,-6.41187696574e-07
1.746,-0,-5.39892537944e-07
1.748,-0,-4.3849472871e-07
1.75,-0,-3.37096919477e-07
1.752,-0,-2.35699110247e-07
1.754,-0,-1.34301301011e-07
1.756,-0,-3.29034917802e-08
1.758,-0,6.84943174539e-08
1.76,-0,1.69892126685e-07
1.762,-0,2.71289935919e-07
1.764,-0,3.72713697985e-07
1.766,-0,4.74254247792e-07
1.768,-0,5.75794797602e-07
1.77,-0,6.77335347409e-07
1.772,-0,7.78875897217e-07
1.774,-0,8.80416447024e-07
1.776,-0,9.81956996835e-07
1.778,-0,1.08349754664e-06
1.78,-0,1.18503809645e-06
1.782,-0,1.28659176765e-06
1.784,-0,1.38827665273e-06
1.786,-0,1.48996153782e-06
1.788,-0,1.59164642291e-06
1.79,-0,1.69333130799e-06
1.792,-0,1.79501619308e-06
1.794,-0,1.89670107817e-06
1.796,-0,1.99838596325e-06
1.798,-0,2.10007084834e-06
1.8,-0,2.20175573342e-06
1.802,-0,2.30358654745e-06
1.804,-0,2.40541736148e-06
1.806,-0,2.50724817551e-06
1.808,-0,2.60907898953e-06
1.81,-0,2.71090980356e-06
1.812,-0,2.81274061759e-06
1.814,-0,2.91457143162e-06
1.816,-0,3.01640224565e-06
1.818,-0,3.11823305967e-06
1.82,-0,3.22019798445e-06
1.822,-0,3.3221763203e-06
1.824,-0,3.42415465615e-06
1.826,-0,3.526132992e-06
1.828,-0,3.62811132786e-06
1.83,-0,3.73008966371e-06
1.832,-0,3.83206799956e-06
1.834,-0,3.93404633541e-06
1.836,-0,4.03602467126e-06
1.838,-0,4.13812500966e-06
1.84,-0,4.24025245973e-06
1.842,-0,4.3423799098e-06
1.844,-0,4.44450735987e-06
1.846,-0,4.54663480994e-06
1.848,-0,4.64876226001e-06
1.85,-0,4.75088971009e-06
1.852,-0,4.85301716016e-06
1.854,-0,4.95514461023e-06
1.856,-0,5.05738166493e-06
1.858,-0,5.15965982136e-06
1.86,-0,5.2619379778e-06
1.862,-0,5.36421613423e-06
1.864,-0,5.46649429066e-06
1.866,-0,5.5687724471e-06
1.868,-0,5.67105060353e-06
1.87,-0,5.77332875997e-06
1.872,-0,5.8756069164e-06
1.874,-0,5.97798199008e-06
1.876,-0,6.08041244505e-06
1.878,-0,6.18284290002e-06
1.88,-0,6.28527335499e-06
1.882,-0,6.38770380995e-06
1.884,-0,6.49013426492e-06
1.886,-0,6.59256471989e-06
1.888,-0,6.69499517486e-06
1.89,-0,6.79742562983e-06
1.892,-0,6.89994002532e-06
1.894,-0,7.00252437127e-06
1.896,-0,7.10510871721e-06
1.898,-0,7.20769306316e-06
1.9,-0,7.3102774091e-06
1.902,-0,7.41286175505e-06
1.904,-0,7.51544610099e-06
1.906,-0,7.61803044694e-06
1.908,-0,7.72061479288e-06
1.91,-0,7.82326981334e-06
1.912,-0,7.92600964322e-06
1.914,-0,8.02874947311e-06
1.916,-0,8.13148930298e-06
1.918,-0,8.23422913286e-06
1.92,-0,8.33696896274e-06
1.922,-0,8.43970879262e-06
1.924,-0,8.5424486225e-06
1.926,-0,8.64518845238e-06
1.928,-0,8.74798540141e-06
1.93,-0,8.85088230894e-06
1.932,-0,8.95377921647e-06
1.934,-0,9.056676124e-06
1.936,-0,9.15957303154e-06
1.938,-0,9.26246993907e-06
1.94,-0,9.3653668466e-06
1.942,-0,9.46826375413e-06
1.944,-0,9.57116066166e-06
1.946,-0,9.67410084348e-06
1.948,-0,9.7771564234e-06
1.95,-0,9.88021200331e-06
1.952,-0,9.98326758323e-06
1.954,-0,1.00863231631e-05
1.956,-0,1.01893787431e-05
1.958,-0,1.0292434323e-05
1.96,-0,1.03954899029e-05
1.962,-0,1.04985454828e-05
1.964,-0,1.06016302024e-05
1.966,-0,1.07048460506e-05
1.968,-0,1.08080618989e-05
1.97,-0,1.09112777471e-05
1.972,-0,1.10144935954e-05
1.974,-0,1.11177094436e-05
1.976,-0,1.12209252918e-05
1.978,-0,1.13241411401e-05
1.98,-0,1.14273569883e-05
1.982,-6.94315775931e-14,1.15305875516e-05
1.984,-8.33178931103e-13,1.16339652656e-05
1.986,-1.59692628461e-12,1.17373429796e-05
1.988,-2.36067363812e-12,1.18407206936e-05
1.99,-3.12442099163e-12,1.19440984076e-05
1.992,-3.88816834514e-12,1.20474761216e-05
1.994,-4.65191569865e-12,1.21508538356e-05
1.996,-5.41566305216e-12,1.22542315496e-05
1.998,-6.17941040567e-12,1.23576092636e-05
2,-6.94315880931e-12,1.24609869776e-05
2.002,-1.1823413081e-06,1.25645281564e-05
2.004,-2.36467567304e-06,1.26680693353e-05
2.006,-3.54701003798e-06,1.27716105142e-05
2.008,-4.72934440291e-06,1.2875151693e-05
2.01,-5.91167876785e-06,1.29786928719e-05
2.012,-7.09401313279e-06,1.30822340508e-05
2.014,-8.27634749773e-06,1.31857752297e-05
2.016,-9.45868186267e-06,1.32893164085e-05
2.018,-1.06410162276e-05,1.33928575874e-05
2.02,-1.18994825475e-05,1.34965488262e-05
2.022,-1.3165562063e-05,1.3600255071e-05
2.024,-1.44316415784e-05,1.37039613158e-05
2.026,-1.56977210939e-05,1.38076675606e-05
2.028,-1.69638006093e-05,1.39113738054e-05
2.03,-1.82298801247e-05,1.40150800502e-05
2.032,-1.94959596402e-05,1.41187862949e-05
2.034,-2.07620391556e-05,1.42224925397e-05
2.036,-2.20281186711e-05,1.43261987845e-05
2.038,-2.33600216119e-05,1.44300413949e-05
2.04,-2.47065519807e-05,1.45339143088e-05
2.042,-2.60530823494e-05,1.46377872227e-05
2.044,-2.73996127182e-05,1.47416601366e-05
2.046,-2.8746143087e-05,1.48455330505e-05
2.048,-3.00926734557e-05,1.49494059644e-05
2.05,-3.14392038245e-05,1.50532788783e-05
2.052,-3.27857341932e-05,1.51571517922e-05
2.054,-3.4132264562e-05,1.52610247061e-05
2.056,-3.55345818133e-05,1.53650200015e-05
2.058,-3.69578191456e-05,1.546906119e-05
2.06,-3.83810564778e-05,1.55731023786e-05
2.062,-3.98042938101e-05,1.56771435671e-05
2.064,-4.12275311424e-05,1.57811847556e-05
2.066,-4.26507684747e-05,1.58852259441e-05
2.068,-4.40740058069e-05,1.59892671327e-05
2.07,-4.54972431392e-05,1.60933083212e-05
2.072,-4.69204804715e-05,1.61973495097e-05
2.074,-4.83898732768e-05,1.63014988054e-05
2.076,-4.9885640638e-05,1.64057098767e-05
2.078,-5.13814079993e-05,1.6509920948e-05
2.08,-5.28771753605e-05,1.66141320192e-05
2.082,-5.43729427218e-05,1.67183430905e-05
2.084,-5.58687100831e-05,1.68225541618e-05
2.086,-5.73644774443e-05,1.6926765233e-05
2.088,-5.88602448056e-05,1.70309763043e-05
2.09,-6.03560121668e-05,1.71351873756e-05
2.092,-6.18888253004e-05,1.72394919888e-05
2.094,-6.3452509911e-05,1.73438745537e-05
2.096,-6.50161945216e-05,1.74482571186e-05
2.098,-6.65798791321e-05,1.75526396836e-05
2.1,-6.81435637427e-05,1.76570222485e-05
2.102,-6.97072483532e-05,1.77614048134e-05
2.104,-7.12709329638e-05,1.78657873783e-05
2.106,-7.28346175744e-05,1.79701699432e-05
2.108,-7.43983021849e-05,1.80745525081e-05
2.11,-7.59905709647e-05,1.81790137582e-05
2.112,-7.76171407476e-05,1.82835694306e-05
2.114,-7.92437105305e-05,1.83881251031e-05
2.116,-8.08702803134e-05,1.84926807755e-05
2.118,-8.24968500963e-05,1.85972364479e-05
2.12,-8.41234198792e-05,1.87017921203e-05
2.122,-8.57499896621e-05,1.88063477927e-05
2.124,-8.7376559445e-05,1.89109034651e-05
2.126,-8.90031292279e-05,1.90154591376e-05
2.128,-9.06505856021e-05,1.91200783462e-05
2.13,-9.2334593511e-05,1.92248087432e-05
2.132,-9.40186014199e-05,1.93295391402e-05
2.134,-9.57026093288e-05,1.94342695372e-05
2.136,-9.73866172377e-05,1.95389999342e-05
2.138,-9.90706251466e-05,1.96437303312e-05
2.14,-0.000100754633055,1.97484607283e-05
2.142,-0.000102438640964,1.98531911253e-05
2.144,-0.000104122648873,1.99579215223e-05
2.146,-0.000105820727577,2.00627000134e-05
2.148,-0.000107556328398,2.01676067555e-05
2.15,-0.00010929192922,2.02725134975e-05
2.152,-0.000111027530041,2.03774202396e-05
2.154,-0.000112763130863,2.04823269817e-05
