pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13.14,0.000375,0.00035,"[4.0, 8.0]",7.4829858213865545,4.499999999999998,5.415288046749493,5.4935295460679665,4.279454410419663,0.896630964197319,0.0,0.0,0.0,"[(4.0, 7.399999999999988), (7.899999999999986, 7.899999999999986)]",3.599999999999987,True
13.16,0.000375,0.00035,"[4.0, 8.0]",5.308852379730128,4.399999999999999,3.9180828211099406,3.814958948695443,3.7353916658288924,0.7078809618435928,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00039999999999999996,0.00033,"[4.0, 8.0]",1.2582583306815998,4.499999999999998,-2.6287905882520337,-1.4904324081117886,22.70453570381155,3.9765244795821375,0.0,0.0,0.0,"[(4.0, 5.299999999999995), (6.89999999999999, 7.499999999999988), (7.999999999999986, 7.999999999999986)]",2.199999999999992,True
13.12,0.00039999999999999996,0.00033,"[4.0, 8.0]",1.328620885577838,4.499999999999998,-1.6587345202355908,-0.7718362039550287,11.132156898609791,2.6009721198043683,0.0,0.0,0.0,"[(4.0, 5.199999999999996), (5.599999999999994, 6.599999999999991), (7.699999999999987, 7.999999999999986)]",2.79999999999999,True
13.14,0.00039999999999999996,0.00033,"[4.0, 8.0]",6.857072814569279,4.499999999999998,4.846474061147832,4.960608767008746,4.188808323606012,0.8385695527078829,0.0,0.0,0.0,"[(4.0, 7.399999999999988), (7.899999999999986, 7.899999999999986)]",3.599999999999987,True
13.16,0.00039999999999999996,0.00033,"[4.0, 8.0]",4.788231754431165,4.399999999999999,3.4972160137500095,3.4624166363057713,3.46591561933051,0.6817861440516134,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00039999999999999996,0.00033999999999999997,"[4.0, 8.0]",3.2362264181688216,4.499999999999998,0.39617000978938954,1.7214644833987935,17.81631611932983,3.6713469976718165,0.0,0.0,0.0,"[(4.0, 5.299999999999995), (5.699999999999994, 6.999999999999989), (7.699999999999987, 7.899999999999986)]",3.099999999999989,True
13.12,0.00039999999999999996,0.00033999999999999997,"[4.0, 8.0]",3.109574475540278,4.499999999999998,-2.9172796132029717,-1.7054434756218377,17.788541704021913,4.474177278053937,0.0,0.0,0.0,"[(4.1, 5.099999999999996), (7.199999999999989, 7.599999999999987)]",1.5999999999999943,True
13.14,0.00039999999999999996,0.00033999999999999997,"[4.0, 8.0]",6.958253581901797,4.599999999999998,5.107394286994013,5.285278278469999,4.334549253266663,0.8972481088268863,0.0,0.0,0.0,"[(4.0, 7.399999999999988), (7.899999999999986, 7.999999999999986)]",3.699999999999987,True
13.16,0.00039999999999999996,0.00033999999999999997,"[4.0, 8.0]",5.037807438224463,4.399999999999999,3.755301028968079,3.6850462805751194,3.5800048640686004,0.6928245933084736,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
13.1,0.00039999999999999996,0.00035,"[4.0, 8.0]",12.523801016623683,4.0,1.7439826187965743,2.838047040106153,35.51706951288296,5.891970834592802,0.0,0.0,0.0,"[(4.0, 4.1)]",0.1999999999999993,True
13.12,0.00039999999999999996,0.00035,"[4.0, 8.0]",6.066185006834647,4.0,-0.8587178212021918,-0.1996804067199859,34.79323748060242,5.6566778055073375,0.0,0.0,0.0,"[(4.0, 4.599999999999998), (6.89999999999999, 6.999999999999989), (7.999999999999986, 7.999999999999986)]",0.9999999999999964,True
13.14,0.00039999999999999996,0.00035,"[4.0, 8.0]",7.036769073550273,4.599999999999998,5.2982399201587524,5.364676427644541,4.400876865151435,0.9410849817322343,0.0,0.0,0.0,"[(4.0, 7.399999999999988), (7.899999999999986, 7.999999999999986)]",3.699999999999987,True
13.16,0.00039999999999999996,0.00035,"[4.0, 8.0]",5.199269361875583,4.399999999999999,3.9606613256790766,3.848495907660751,3.608934761918061,0.7152965415713216,0.0,0.0,0.0,"[(4.0, 7.899999999999986)]",3.999999999999986,True
