unloaded_cells_each_side,loaded_cells,supercells,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
13,3,1407,13.179999999999993,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.39525751186844804,6.599999999999991,0.2568072739796028,0.3018731026336275,0.39515912135108405,0.13235866874478153,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.189999999999992,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.39946393413352704,5.449999999999995,0.31044992329599613,0.3563553357939581,0.3993778860222684,0.12095098338856883,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,13.199999999999992,0.00019999999999999998,0.00019999999999999998,"[4.0, 8.0]",0.37939893263772473,4.6999999999999975,0.18615852993895957,0.16364717818982782,0.3164637896403112,0.10495556217962815,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.85,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.391024738991575,4.449999999999998,0.7237623681356763,0.6584314488296847,1.143092172396862,0.3921666388856856,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.86,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.3665565353164435,4.299999999999999,0.48430908146133905,0.30801264827084623,1.3298106625125923,0.4546549211309315,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.87,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.3420033887142038,4.1,0.30332326148001215,0.05480985857676275,1.3420011739283013,0.4304776113229491,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.879999999999999,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.295081120424004,4.0,0.24886617482371903,0.14428229527735675,1.2950270883334192,0.33229805380976396,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.889999999999999,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.1210947148758015,4.0,0.321587424901944,0.3156067914922858,1.1208479113572043,0.2534660247969287,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.899999999999999,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",0.8461941826569335,4.0,0.47241856214299055,0.5265518610265162,0.8461809846217971,0.2782892082846644,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.909999999999998,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.0444321278976647,6.449999999999991,0.6554250081873152,0.7626416366187145,1.0433463663806142,0.34970710802165533,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
13,3,1407,12.919999999999998,0.00019999999999999998,0.00021999999999999998,"[4.0, 8.0]",1.1439754161027023,6.449999999999991,0.8249688674440803,1.0142395576710175,1.1437041914003379,0.3819921758653374,0.0,0.0,0.0,"[(4.0, 7.999999999999986)]",4.049999999999986,True
