unloaded_cells_each_side,loaded_cells,period_cells,supercells,total_cells,length_mm,pump_GHz,Idc_A,Ip0_A,band_GHz,peak_gain_db,peak_frequency_GHz,mean_in_band_gain_db,median_in_band_gain_db,ripple_peak_to_peak_db,ripple_std_db,fraction_above_15db,fraction_above_17db,fraction_above_20db,bandwidth_regions_GHz,total_3db_bandwidth_GHz,finite
15,3,33,1236,40788,81.57600000000001,11.384848484848485,0.0003,0.00036,"[4.0, 8.0]",43.981240641436315,7.999999999999986,31.971279551843065,29.3372630965848,16.8940613359344,5.294784943930816,1.0,1.0,1.0,"[(7.649999999999987, 7.999999999999986)]",0.3999999999999986,True
15,3,33,1236,40788,81.57600000000001,11.395151515151515,0.0003,0.00036,"[4.0, 8.0]",44.04669501771749,7.999999999999986,32.43440897108655,29.86563005108591,16.41562063462376,5.184195804271768,1.0,1.0,1.0,"[(7.599999999999987, 7.999999999999986)]",0.4499999999999984,True
15,3,33,1236,40788,81.57600000000001,11.405454545454544,0.0003,0.00036,"[4.0, 8.0]",44.09982403393033,7.999999999999986,32.94353860458683,30.446733429052074,15.866039908315972,5.058842245911403,1.0,1.0,1.0,"[(7.549999999999987, 7.999999999999986)]",0.4999999999999982,True
15,3,33,1236,40788,81.57600000000001,11.415757575757574,0.0003,0.00036,"[4.0, 8.0]",44.12782892394148,7.999999999999986,33.44520908089312,31.027076159663572,15.300890590076634,4.928097533171246,1.0,1.0,1.0,"[(7.549999999999987, 7.999999999999986)]",0.4999999999999982,True
15,3,33,1236,40788,81.57600000000001,11.426060606060604,0.0003,0.00036,"[4.0, 8.0]",44.123715456581316,7.999999999999986,33.937669763427074,31.60239762310431,14.700717691712455,4.790942107795103,1.0,1.0,1.0,"[(7.499999999999988, 7.999999999999986)]",0.549999999999998,True
15,3,33,1236,40788,81.57600000000001,11.436363636363634,0.0003,0.00036,"[4.0, 8.0]",44.08600375837867,7.999999999999986,34.51017788902237,32.2734087948616,13.974340940540234,4.624546876684147,1.0,1.0,1.0,"[(7.449999999999988, 7.999999999999986)]",0.5999999999999979,True
15,3,33,1236,40788,81.57600000000001,11.446666666666664,0.0003,0.00036,"[4.0, 8.0]",43.98582770244956,7.999999999999986,35.17797069262813,33.06225194454712,13.058464342315474,4.41591556616838,1.0,1.0,1.0,"[(7.349999999999988, 7.999999999999986)]",0.6999999999999975,True
15,3,33,1236,40788,81.57600000000001,11.456969696969693,0.0003,0.00036,"[4.0, 8.0]",43.841052835064275,7.949999999999986,35.84114775768916,33.8745643776731,12.084471294264802,4.184375580806504,1.0,1.0,1.0,"[(7.2499999999999885, 7.999999999999986)]",0.7999999999999972,True
15,3,33,1236,40788,81.57600000000001,11.467272727272723,0.0003,0.00036,"[4.0, 8.0]",43.69401173428335,7.899999999999986,36.45824506135332,34.636152734571276,11.14088062322007,3.941696979628276,1.0,1.0,1.0,"[(7.149999999999989, 7.999999999999986)]",0.8999999999999968,True
15,3,33,1236,40788,81.57600000000001,11.477575757575753,0.0003,0.00036,"[4.0, 8.0]",43.5316435347262,7.7999999999999865,37.12922868504545,35.492012448822756,10.083169890974482,3.6448183552092863,1.0,1.0,1.0,"[(7.049999999999989, 7.999999999999986)]",0.9999999999999964,True
