frequency_GHz,S21_db,k_star
0.4160000000000002,-0.023073739922503396,1.9249772259142747e-07
0.4180000000000002,-0.004303718245843998,2.8338399135890285e-07
0.4200000000000002,-0.06626268999164106,3.3527674346296027e-07
0.42200000000000015,-0.12203079302961703,2.8153212360058737e-07
0.42400000000000027,-0.09410978125228825,2.029425361358729e-07
0.4260000000000002,-0.021213201991791192,2.1457164535421645e-07
0.4280000000000002,-0.005237340817605896,3.0631097979252897e-07
0.4300000000000002,-0.06867021000721715,3.5520714757996535e-07
0.4320000000000002,-0.12254784078011949,2.9886506031258364e-07
0.4340000000000002,-0.09201668561633636,2.2169521713896745e-07
0.4360000000000002,-0.019414791070388404,2.3683555100319914e-07
0.4380000000000002,-0.006258246748515098,3.292932141479247e-07
0.4400000000000002,-0.07106724860414783,3.7512472015276653e-07
0.4420000000000002,-0.1229724490185055,3.162779883406682e-07
0.44400000000000023,-0.0898770063022058,2.406523621444317e-07
0.44600000000000023,-0.017681322776400256,2.592888199632378e-07
0.44800000000000023,-0.007364889571121242,3.5232890193618964e-07
0.45000000000000023,-0.07345013522099891,3.950324214514137e-07
0.45200000000000023,-0.12330392401670304,3.3377770450879543e-07
0.45400000000000024,-0.08769395978806244,2.598185675638416e-07
0.45600000000000024,-0.016015516921788424,2.81930697077111e-07
0.45800000000000024,-0.0085555894449695,3.7541632704266026e-07
0.46000000000000024,-0.0758152194652068,4.1493338612990163e-07
0.46200000000000024,-0.12354171022691694,3.513710377426281e-07
0.46400000000000025,-0.08547083345888086,2.7919827834312766e-07
0.46600000000000025,-0.014419993045625017,3.0476029612685335e-07
0.46800000000000025,-0.009828535451656024,3.985538561549276e-07
0.47000000000000025,-0.07815887677820665,4.348309221458707e-07
0.47200000000000025,-0.12368539107768148,3.690648427132938e-07
0.47400000000000025,-0.0832109803645198,2.9879578451004127e-07
0.47600000000000026,-0.012897266267598262,3.277766045519867e-07
0.47800000000000026,-0.011181788259347996,4.2173994506703935e-07
0.48000000000000026,-0.08047751362996289,4.5472850941467857e-07
0.48200000000000026,-0.12373469005295838,3.8686599344904885e-07
0.48400000000000026,-0.08091781487556184,3.186152179404135e-07
0.48600000000000027,-0.011449742911724896,3.509784884214544e-07
0.4880000000000002,-0.012613283082668174,4.449731448282271e-07
0.4900000000000003,-0.08276757304653687,4.7462979821388807e-07
0.49200000000000027,-0.1236894711742509,4.047813769040079e-07
0.49400000000000027,-0.07859480769681837,3.3866054929658496e-07
0.4960000000000003,-0.01007971677257788,3.743646975798952e-07
0.4980000000000003,-0.014120832879676071,4.682521077704199e-07
0.5000000000000002,-0.08502553963995985,4.945386073676623e-07
0.5020000000000002,-0.12354973931954755,4.228178864897937e-07
0.5040000000000002,-0.07624548064240005,3.5893558523450095e-07
0.5060000000000002,-0.00878936511565925,3.979338710131432e-07
0.5080000000000002,-0.01570213147581668,4.91575593367273e-07
0.5100000000000002,-0.08724794503302032,5.144589221689998e-07
0.5120000000000002,-0.12331564063307722,4.409824155967787e-07
0.5140000000000002,-0.07387340196097954,3.7944396579208534e-07
0.5160000000000002,-0.007580744982500812,4.2168454241278686e-07
0.5180000000000002,-0.017354757030706283,5.149424739318668e-07
0.5200000000000002,-0.08943137299720898,5.343948920768886e-07
0.5220000000000002,-0.1229874623596065,4.592818510953771e-07
0.5240000000000002,-0.07148218072045057,4.0018916203305235e-07
0.5260000000000002,-0.006455789933131789,4.456151459137671e-07
0.5280000000000002,-0.01907617603203522,5.383517401370309e-07
0.5300000000000002,-0.09157246422559538,5.54350828188381e-07
0.5320000000000003,-0.1225656329278048,4.777230668277961e-07
0.5340000000000003,-0.06907546192843687,4.2117447390625784e-07
0.5360000000000003,-0.005416306523205891,4.6972402201542196e-07
0.5380000000000003,-0.020863746622124105,5.61802506360027e-07
0.5400000000000003,-0.09366792178687362,5.743312004608675e-07
0.5420000000000003,-0.12205072134042817,4.96312917101522e-07
0.5440000000000003,-0.06665692095061074,4.4240302836178955e-07
0.5460000000000003,-0.004463971226666018,4.940094236868461e-07
0.5480000000000003,-0.022714723096758704,5.852940158351111e-07
0.5500000000000003,-0.09571451566231187,5.943406347348572e-07
0.5520000000000003,-0.12144343683600489,5.15058230194515e-07
0.5540000000000003,-0.06423025822064704,4.6387777769604094e-07
0.5560000000000003,-0.0036003276226277453,5.184695226045227e-07
0.5580000000000003,-0.024626259606331493,6.088256456022664e-07
0.5600000000000003,-0.09770908768364074,6.143839095195357e-07
0.5620000000000003,-0.1207446280571793,5.339658018760178e-07
0.5640000000000003,-0.06179919359372541,4.856014981530904e-07
0.5660000000000003,-0.002826783523625467,5.431024155664634e-07
0.5680000000000003,-0.026595414907883207,6.323969112599116e-07
0.5700000000000003,-0.09964855611188406,6.344659525844669e-07
0.5720000000000003,-0.11995528213545618,5.530423889490467e-07
0.5740000000000003,-0.0593674609197058,5.075767887797837e-07
0.5760000000000003,-0.0021446086776826696,5.67906131041223e-07
0.5780000000000003,-0.028619156553835012,6.560074714972997e-07
0.5800000000000003,-0.10152992050191699,6.54591837312337e-07
0.5820000000000002,-0.11907652361271662,5.72294702828012e-07
0.5840000000000002,-0.05693880259288086,5.298060705349536e-07
0.5860000000000004,-0.0015549321904249637,5.928786358379116e-07
0.5880000000000004,-0.030694365512523657,6.796571324079077e-07
0.5900000000000004,-0.10335026575731084,6.747667788812618e-07
0.5920000000000003,-0.11810961301274388,5.917294031549357e-07
0.5940000000000003,-0.05451696353008373,5.522915856618835e-07
0.5960000000000003,-0.0010587405834359214,6.180178419080452e-07
