finger_length_um,Z0_ohm
47.0678,24.976
47.1442,25.057
47.2206,25.057
47.2970,25.057
47.3734,24.976
47.4499,24.976
47.5263,24.894
47.6027,24.812
47.6791,24.812
47.7555,24.812
47.8319,24.812
47.9083,24.812
47.9847,24.812
48.0611,24.812
48.1375,24.812
48.2139,24.649
48.2904,24.649
48.3668,24.649
48.4432,24.649
48.5196,24.649
48.5960,24.486
48.6724,24.486
48.7488,24.486
48.8252,24.568
48.9016,24.649
48.9780,24.568
49.0544,24.486
49.1309,24.568
49.2073,24.568
49.2837,24.405
49.3601,24.486
49.4365,24.486
49.5129,24.405
49.5893,24.405
49.6657,24.323
49.7421,24.323
49.8185,24.323
49.8949,24.323
49.9713,24.323
50.0478,24.323
50.1242,24.323
50.2006,24.160
50.2770,24.160
50.3534,24.160
50.4298,24.160
50.5062,24.160
50.5826,24.078
50.6590,23.997
50.7354,24.078
50.8118,24.160
50.8883,24.160
50.9647,24.078
51.0411,24.078
51.1175,24.078
51.1939,23.997
51.2703,23.915
51.3467,23.997
51.4231,23.997
51.4995,23.915
51.5759,23.915
51.6523,23.834
51.7287,23.834
51.8052,23.834
51.8816,23.834
51.9580,23.834
52.0344,23.834
52.1108,23.834
52.1872,23.834
52.2636,23.834
52.3400,23.752
52.4164,23.670
52.4928,23.752
52.5692,23.589
52.6457,23.589
52.7221,23.589
52.7985,23.670
52.8749,23.589
52.9513,23.589
53.0277,23.589
53.1041,23.670
53.1805,23.589
53.2569,23.589
53.3333,23.589
53.4097,23.589
53.4862,23.507
53.5626,23.507
53.6390,23.507
53.7154,23.507
53.7918,23.507
53.8682,23.344
53.9446,23.344
54.0210,23.344
54.0974,23.344
54.1738,23.344
54.2502,23.344
54.3266,23.344
54.4031,23.344
54.4795,23.263
54.5559,23.263
54.6323,23.100
54.7087,23.100
54.7851,23.263
54.8615,23.100
54.9379,23.181
55.0143,23.181
55.0907,23.181
55.1671,23.018
55.2436,23.100
55.3200,23.100
55.3964,23.100
55.4728,23.100
55.5492,23.100
55.6256,23.018
55.7020,23.018
55.7784,23.018
55.8548,23.018
55.9312,23.018
56.0076,23.018
56.0840,23.018
56.1605,22.936
56.2369,22.855
56.3133,22.855
56.3897,22.855
56.4661,22.855
56.5425,22.855
56.6189,22.773
56.6953,22.773
56.7717,22.773
56.8481,22.773
56.9245,22.855
57.0010,22.773
57.0774,22.855
57.1538,22.773
57.2302,22.773
57.3066,22.773
57.3830,22.773
57.4594,22.773
57.5358,22.692
57.6122,22.692
57.6886,22.692
57.7650,22.692
57.8415,22.610
57.9179,22.529
57.9943,22.529
58.0707,22.529
58.1471,22.529
58.2235,22.529
58.2999,22.529
58.3763,22.529
58.4527,22.529
58.5291,22.447
58.6055,22.365
58.6819,22.365
58.7584,22.447
58.8348,22.529
58.9112,22.447
58.9876,22.365
59.0640,22.365
59.1404,22.365
59.2168,22.365
59.2932,22.365
59.3696,22.365
59.4460,22.365
59.5224,22.284
59.5989,22.202
59.6753,22.202
59.7517,22.202
59.8281,22.202
59.9045,22.202
59.9809,22.202
60.0573,22.202
60.1337,22.202
60.2101,22.202
60.2865,22.202
60.3629,22.202
60.4394,22.121
60.5158,22.121
60.5922,22.039
60.6686,22.039
60.7450,22.121
60.8214,21.958
60.8978,21.958
60.9742,22.039
61.0506,22.039
61.1270,21.958
61.2034,21.958
61.2798,22.039
61.3563,22.039
61.4327,22.039
61.5091,21.958
61.5855,21.958
61.6619,21.876
61.7383,21.876
61.8147,21.876
61.8911,21.876
61.9675,21.876
62.0439,21.876
62.1203,21.876
62.1968,21.876
62.2732,21.876
62.3496,21.794
62.4260,21.713
62.5024,21.794
62.5788,21.713
62.6552,21.713
62.7316,21.631
62.8080,21.631
62.8844,21.631
62.9608,21.631
63.0372,21.713
63.1137,21.550
63.1901,21.631
63.2665,21.631
63.3429,21.631
63.4193,21.713
63.4957,21.631
63.5721,21.550
63.6485,21.550
63.7249,21.550
63.8013,21.550
63.8777,21.550
63.9542,21.550
64.0306,21.550
64.1070,21.550
64.1834,21.550
64.2598,21.468
64.3362,21.387
64.4126,21.387
64.4890,21.468
64.5654,21.387
64.6418,21.305
64.7182,21.305
64.7947,21.305
64.8711,21.387
64.9475,21.305
65.0239,21.305
65.1003,21.223
65.1767,21.305
65.2531,21.305
65.3295,21.305
65.4059,21.305
65.4823,21.305
65.5587,21.223
65.6351,21.223
65.7116,21.223
65.7880,21.223
65.8644,21.223
65.9408,21.223
66.0172,21.223
66.0936,21.223
66.1700,21.223
66.2464,21.223
66.3228,21.060
66.3992,21.060
66.4756,21.142
66.5521,21.142
66.6285,20.979
66.7049,20.979
66.7813,21.142
66.8577,21.142
66.9341,21.060
